"sppid","species","scinam","rank","spp_code","tsnid","ndet","nsite","map.det","useavail.north","veghf.north","useavail.south","soilhf.south","map.pred","origin","nonnative","comments"
"Astragalus.alpinus","Alpine Milk Vetch","Astragalus alpinus","Species","AstragalusAlpinus",99003726,18,7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Astragalus.americanus.canadensis","American Milk Vetch","Astragalus americanus/canadensis","Species","AstragalusAmericanus",99003727,261,123,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"Native",FALSE,NA
"Astragalus.australis","Richardson's Milk Vetch","Astragalus australis","Species","AstragalusAustralis",99003731,6,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Astragalus.bisulcatus","Two-Grooved Milk Vetch","Astragalus bisulcatus","Species","AstragalusBisulcatus",99003733,24,10,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
"Astragalus.bodinii","Bodin's Milk Vetch","Astragalus bodinii","Species","AstragalusBodinii",99003728,4,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Astragalus.cicer","Cicer Milk Vetch","Astragalus cicer","Species","AstragalusCicer",99003715,27,12,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Exotic",TRUE,NA
"Astragalus.crassicarpus","Ground Plum","Astragalus crassicarpus","Species","AstragalusCrassicarpus",99003716,46,22,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
"Astragalus.drummondii","Drummond's Milk Vetch","Astragalus drummondii","Species","AstragalusDrummondii",99003717,16,8,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
"Astragalus.eucosmus",NA,"Astragalus eucosmus","Species","AstragalusEucosmus",99005182,9,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Native",FALSE,NA
"Astragalus.flexuosus","Slender Milk Vetch","Astragalus flexuosus","Species","AstragalusFlexuosus",99003718,109,44,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"Native",FALSE,NA
"Astragalus.gilviflorus","Cushion Milk Vetch","Astragalus gilviflorus","Species","AstragalusGilviflorus",99003719,7,6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Native",FALSE,NA
"Astragalus.laxmannii","Ascending Purple Milk Vetch","Astragalus laxmannii","Species","AstragalusLaxmannii",99004902,148,62,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"Native",FALSE,NA
