"sppid","species","scinam","rank","spp_code","tsnid","ndet","nsite","map.det","useavail.north","veghf.north","useavail.south","soilhf.south","map.pred","comments"
"Encalypta.rhaptocarpa",NA,"Encalypta rhaptocarpa","Species","EncalyptaRhaptocarpa",99001121,3,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Entodon.brevisetus",NA,"Entodon brevisetus","Species","EntodonBrevisetus",99001124,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Entodon.cladorrhizans",NA,"Entodon cladorrhizans","Species","EntodonCladorrhizans",99005399,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Entodon.schleicheri",NA,"Entodon schleicheri","Species","EntodonSchleicheri",99001126,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Eurhynchiastrum.pulchellum",NA,"Eurhynchiastrum pulchellum","Genus","Eurhynchiastrum",99000579,1019,549,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA
"Fissidens.bryoides",NA,"Fissidens bryoides","Species","FissidensBryoides",99001129,4,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Fissidens.osmundioides",NA,"Fissidens osmundioides","Species","FissidensOsmundioides",99001132,3,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
"Fontinalis.hypnoides",NA,"Fontinalis hypnoides","Species","FontinalisHypnoides",99001136,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Fontinalis.neomexicana",NA,"Fontinalis neomexicana","Species","FontinalisNeomexicana",99001137,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Funaria.hygrometrica",NA,"Funaria hygrometrica","Species","FunariaHygrometrica",99001027,92,74,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"Geocalyx.graveolens",NA,"Geocalyx graveolens","Species","GeocalyxGraveolens",99001028,138,107,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"Grimmia.anodon",NA,"Grimmia anodon","Species","GrimmiaAnodon",99001031,11,10,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA
"Grimmia.muehlenbeckii",NA,"Grimmia muehlenbeckii","Species","GrimmiaMuehlenbeckii",99001381,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Grimmia.trichophylla",NA,"Grimmia trichophylla","Species","GrimmiaTrichophylla",99001046,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"Gymnocolea.inflata",NA,"Gymnocolea inflata","Species","GymnocoleaInflata",99001047,4,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
